sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"ARA400001",TOOLBANK,"STANDARD EPOXY 2 X 15ML TUBES","STANDARD EPOXY 2 X 15ML TUBES",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,7.85,7.85,1,https://franciskirk.shop/var/import/images/ARA400001.jpg
"ARA400002",TOOLBANK,"INDUSTRIAL STANDARD EPOXY 2 X 100ML TUBES","INDUSTRIAL STANDARD EPOXY 2 X 100ML TUBES",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,53.03,53.03,1,https://franciskirk.shop/var/import/images/ARA400002.jpg
"ARA400003",TOOLBANK,"STANDARD EPOXY SYRINGE 24ML","STANDARD EPOXY SYRINGE 24ML",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,8.5,8.5,1,https://franciskirk.shop/var/import/images/ARA400003.jpg
"ARA400005",TOOLBANK,"RAPID EPOXY 2 X 15ML TUBES","RAPID EPOXY 2 X 15ML TUBES",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,7.85,7.85,1,https://franciskirk.shop/var/import/images/ARA400005.jpg
"ARA400007",TOOLBANK,"RAPID EPOXY SYRINGE 24ML","RAPID EPOXY SYRINGE 24ML",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,8.5,8.5,1,https://franciskirk.shop/var/import/images/ARA400007.jpg
"ARA400008",TOOLBANK,"CRYSTAL EPOXY 2 X 15ML TUBES","CRYSTAL EPOXY 2 X 15ML TUBES",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,8.5,8.5,1,https://franciskirk.shop/var/import/images/ARA400008.jpg
"ARA400010",TOOLBANK,"STEEL EPOXY 2 X 15ML TUBES","STEEL EPOXY 2 X 15ML TUBES",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,8.5,8.5,1,https://franciskirk.shop/var/import/images/ARA400010.jpg
"ARA400012",TOOLBANK,"INSTANT EPOXY SYRINGE 24ML","INSTANT EPOXY SYRINGE 24ML",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,8.5,8.5,1,https://franciskirk.shop/var/import/images/ARA400012.jpg
"ARA400013",TOOLBANK,"FUSION EPOXY SYRINGE","FUSION EPOXY SYRINGE",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,4.55,4.55,1,https://franciskirk.shop/var/import/images/ARA400013.jpg
"ARA400015",TOOLBANK,"REPAIR EPOXY BAR 50G","REPAIR EPOXY BAR 50G",,,,,-,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES-",1,8.5,8.5,1,https://franciskirk.shop/var/import/images/ARA400015.jpg
